from,to,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
15,0,18,1,1,2,5,1,2,15,2,0,0,2,1,1,18,1,1,3,4,1,0,18,1,1,3,4,1,0,48,59,107
3,0,12,2,2,4,2,1,3,14,3,2,13,5,1,2,16,2,1,9,5,1,1,12,2,2,7,5,0,2,53,18,71
6,0,5,4,0,11,5,1,3,9,1,0,15,1,1,0,8,3,0,14,2,1,2,5,4,1,7,5,1,3,23,33,56
15,0,15,1,1,4,5,1,3,14,2,0,1,2,0,2,16,1,1,1,4,1,0,15,1,1,0,4,1,0,43,58,101
3,0,9,3,1,14,5,1,1,12,2,0,15,1,1,1,8,4,1,7,5,1,3,9,3,1,10,5,1,2,41,18,59
6,0,5,4,0,11,2,1,3,9,1,0,15,4,1,0,8,3,0,14,2,1,2,4,4,1,8,5,1,3,23,33,56
10,0,28,3,3,11,4,1,0,30,2,2,10,4,1,1,7,4,1,11,5,1,3,28,3,3,8,4,1,2,3,40,43
5,0,9,2,1,8,5,1,1,11,2,1,14,5,1,1,11,2,1,12,5,1,1,8,4,1,5,5,1,3,38,27,65
5,0,7,3,1,10,5,1,2,10,2,0,15,1,1,1,9,3,0,14,2,1,2,6,4,1,7,5,1,3,33,27,60
4,0,16,2,2,0,5,0,1,17,4,2,9,2,1,3,20,2,1,4,5,1,1,16,2,2,2,5,0,2,14,103,117
4,0,16,2,2,0,5,0,2,17,4,2,9,2,1,3,19,2,1,5,5,1,1,16,2,2,2,5,0,2,14,104,118
4,0,11,2,2,4,2,1,3,13,3,2,13,5,1,2,14,2,1,10,5,1,1,11,2,2,7,5,0,2,1,103,104
9,0,9,2,0,0,5,1,0,15,4,2,6,5,1,3,18,2,1,1,5,1,1,9,2,0,0,2,1,1,46,85,131
14,0,27,3,3,9,2,1,2,29,1,1,13,4,1,0,29,2,2,13,4,1,1,27,3,3,11,4,1,2,18,67,85
11,0,25,3,3,13,5,1,3,29,1,1,10,4,1,0,27,2,2,8,4,1,1,25,3,3,6,1,1,2,17,55,72
3,0,3,1,0,0,5,1,0,3,1,1,0,3,1,0,3,1,1,0,3,1,0,5,3,0,8,4,1,2,15,28,43
2,0,3,1,1,3,1,1,2,26,1,1,2,5,0,1,14,1,1,0,5,0,1,3,1,1,1,5,0,1,7,22,29
1,0,15,2,2,4,2,0,2,17,3,2,12,5,1,2,18,2,1,9,5,1,1,15,2,2,6,5,0,2,97,16,113
8,0,8,1,0,0,3,0,0,21,1,1,1,5,0,1,26,3,3,4,4,1,2,8,1,0,0,5,0,1,27,36,63
6,0,8,2,2,8,5,0,2,15,1,1,9,5,0,1,6,1,0,0,2,1,0,8,2,2,8,5,0,2,12,28,40
5,0,8,1,1,5,5,0,1,18,1,1,7,5,0,1,26,1,1,1,1,1,0,8,1,1,5,5,0,1,26,22,48
14,0,5,3,0,12,5,0,1,23,3,3,7,4,1,2,14,1,0,0,2,0,1,5,3,0,9,5,1,2,8,89,97
15,0,15,2,0,0,2,0,0,15,0,0,0,3,0,0,20,3,3,5,4,1,2,15,2,0,0,2,0,2,52,84,136
15,0,2,2,0,15,5,1,2,20,1,1,5,4,1,0,15,0,0,0,3,0,0,2,2,0,13,5,1,1,2,83,85
15,0,2,2,0,13,5,1,1,0,3,3,15,3,1,2,19,1,1,4,4,1,0,15,0,0,0,3,0,0,3,82,85
15,0,1,3,0,14,2,1,2,0,3,3,15,3,1,2,18,1,1,3,4,1,0,15,1,0,0,5,0,1,1,81,82
9,0,7,1,0,2,5,0,1,18,1,1,3,5,0,1,8,1,0,1,5,0,1,24,3,3,3,4,1,2,24,105,129
11,0,6,2,1,14,2,1,1,24,2,2,5,4,1,1,11,0,0,0,3,0,0,6,2,1,11,5,1,1,30,64,94
10,0,4,2,0,12,4,1,1,10,0,0,0,3,0,0,4,2,0,6,5,0,2,4,2,0,14,4,1,1,10,58,68
11,0,4,1,0,7,5,0,1,10,1,1,9,5,0,1,4,2,0,7,5,0,2,11,1,0,0,5,1,0,16,97,113
10,0,3,2,0,11,4,1,2,10,0,0,0,3,0,0,4,2,0,6,5,0,2,3,2,0,13,4,1,1,10,58,68
14,0,5,2,0,9,5,1,1,5,1,1,11,5,0,1,23,3,3,7,4,1,2,14,1,0,0,2,1,0,21,85,106
10,0,30,3,3,1,5,0,1,30,3,3,10,1,1,2,10,4,2,8,5,1,3,30,3,3,10,4,1,2,2,58,60
14,0,1,2,0,15,4,1,1,30,2,2,14,4,1,1,14,1,1,0,3,1,0,11,2,0,3,5,0,2,3,74,77
9,0,2,3,0,10,1,1,1,14,1,1,1,5,0,1,12,4,2,7,5,1,3,2,3,0,11,4,1,2,10,52,62
8,0,4,2,0,12,4,1,1,3,2,1,11,4,1,1,16,1,1,0,5,0,1,13,4,2,7,2,1,3,12,53,65
9,0,1,3,0,10,1,1,2,14,1,1,1,5,0,1,11,4,2,8,5,1,3,1,3,0,10,4,1,2,10,52,62
6,0,9,1,0,15,4,1,0,8,2,1,14,4,1,1,24,1,1,0,4,1,0,7,2,2,3,5,0,2,36,44,80
9,0,1,3,0,10,1,1,2,14,2,2,1,5,0,2,11,4,2,8,2,1,3,1,3,0,10,4,1,2,10,52,62
6,0,1,3,0,7,4,1,2,3,4,0,9,1,1,3,12,2,2,6,5,0,2,11,4,2,11,5,1,3,5,44,49
9,0,1,3,0,10,1,1,2,13,2,2,2,5,0,2,11,4,2,8,2,1,3,1,3,0,10,4,1,2,10,52,62
4,0,4,3,1,8,4,1,2,6,3,1,10,4,1,2,17,2,2,3,5,0,2,16,3,2,8,5,1,2,23,35,58
9,0,30,3,3,10,1,1,2,13,2,2,2,5,0,2,11,3,2,8,2,1,2,30,3,3,9,4,1,2,10,52,62
4,0,4,4,1,9,4,1,2,17,2,2,3,5,0,2,15,3,2,9,5,1,2,4,4,1,8,1,1,3,23,35,58
9,0,28,3,3,11,5,1,2,30,4,4,9,1,1,3,10,2,2,5,5,0,2,28,3,3,7,4,1,2,1,52,53
4,0,4,4,1,9,1,1,3,16,2,2,4,5,0,2,15,3,2,9,5,1,2,4,4,1,8,1,1,3,23,35,58
3,0,6,3,2,10,1,1,1,19,2,2,2,5,0,2,17,3,2,8,2,1,2,6,3,2,9,4,1,2,35,29,64
3,0,4,3,2,7,4,1,2,6,3,1,9,1,1,2,15,3,3,6,5,0,3,14,4,2,11,5,1,3,24,29,53
2,0,4,4,2,6,1,1,3,7,3,2,9,4,1,2,15,3,3,7,5,0,3,14,4,2,12,5,1,3,29,23,52
11,0,26,3,3,6,5,0,2,28,4,4,9,1,1,3,6,4,2,11,5,1,3,26,3,3,7,4,1,2,20,81,101
7,0,8,1,0,3,5,0,1,8,2,1,15,4,1,1,24,1,1,1,4,1,0,8,1,0,15,4,1,0,14,121,135
11,0,26,4,4,6,5,0,3,28,3,3,9,1,1,2,6,4,2,11,5,1,3,26,4,4,7,4,1,3,20,82,102
11,0,25,4,4,6,5,0,3,28,3,3,9,4,1,2,5,4,2,12,5,1,3,25,4,4,6,4,1,3,20,82,102
8,0,9,3,2,0,3,0,0,7,3,0,15,5,1,2,26,1,1,4,4,1,0,9,3,2,13,5,1,2,31,116,147
