from,to,dist_d,n_call,n_floor,car_position_call,car_direction_call,car_queue_buttons,car_queue_floor,dist_d_deny1,n_call_deny1,n_floor_deny1,car_position_deny1,car_direction_deny1,car_queue_buttons_deny1,car_queue_floor_deny1,dist_d_deny2,n_call_deny2,n_floor_deny2,car_position_deny2,car_direction_deny2,car_queue_buttons_deny2,car_queue_floor_deny2,dist_d_deny3,n_call_deny3,n_floor_deny3,car_position_deny3,car_direction_deny3,car_queue_buttons_deny3,car_queue_floor_deny3,waiting_time,journey_time,total_time
2,0,2,0,0,0,3,0,0,23,2,1,5,2,0,2,2,0,0,0,3,0,0,2,0,0,0,3,0,0,7,8,15
2,0,2,0,0,0,3,0,0,23,3,1,5,2,1,2,2,1,0,0,5,0,1,2,0,0,0,3,0,0,7,8,15
5,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,5,0,0,0,3,0,0,13,64,77
15,0,15,0,0,2,5,0,1,15,0,0,0,3,0,0,15,0,0,0,3,0,0,15,0,0,0,3,0,0,31,42,73
10,0,10,2,1,12,4,1,0,6,2,0,4,5,0,2,6,1,0,4,5,0,1,10,2,1,10,5,1,1,6,27,33
6,0,13,2,1,5,5,0,1,5,2,1,11,4,1,1,5,2,2,5,5,0,2,13,2,1,11,5,1,1,4,33,37
6,0,13,2,1,5,5,0,2,5,2,1,11,4,1,1,4,2,2,6,5,0,2,13,2,1,11,5,1,1,4,34,38
7,0,4,2,1,0,3,0,0,8,2,2,15,3,1,1,7,1,0,0,5,0,1,4,2,1,7,5,1,1,22,29,51
2,0,11,2,1,3,4,1,1,30,1,1,2,4,1,0,10,2,0,12,2,1,1,11,2,1,13,4,1,1,3,16,19
1,0,17,2,1,6,2,0,2,9,2,0,10,1,1,1,16,3,2,7,5,0,3,17,2,1,12,5,1,1,28,11,39
4,0,10,2,2,4,5,0,2,17,2,1,9,5,1,1,27,1,1,1,4,1,0,28,1,1,2,4,1,0,2,78,80
7,0,7,0,0,0,3,0,0,18,2,1,5,2,1,1,7,1,0,0,5,0,1,7,1,0,0,5,0,1,21,70,91
9,0,6,1,0,3,5,0,1,13,2,1,8,5,1,1,23,1,1,2,4,1,0,11,1,0,2,2,1,0,22,63,85
15,0,6,2,0,9,5,1,1,30,1,1,15,4,1,0,14,1,0,1,5,0,1,14,1,0,1,5,0,1,18,48,66
15,0,6,3,0,9,2,1,2,30,1,1,15,4,1,0,13,1,0,2,5,0,1,14,1,0,1,5,0,1,19,47,66
14,0,1,2,2,15,3,1,1,25,1,1,9,4,1,0,6,3,0,8,5,1,2,7,3,0,7,5,1,2,9,42,51
