p_300,0,4,e_0,8,9,25,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,16,17
p_299,0,5,e_1,9,10,29,0,0,0,0,3,0,0,8,2,2,0,5,1,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,19,20
p_297,0,6,e_3,15,16,38,0,0,0,0,3,0,0,7,1,1,1,5,1,0,9,1,1,1,5,1,0,18,1,1,0,5,1,0,1,22,23
p_298,0,9,e_2,11,12,43,0,0,0,0,3,0,0,8,1,1,0,5,1,0,10,1,1,0,2,1,0,0,0,0,0,3,0,0,1,31,32
p_296,0,4,e_0,28,43,57,9,1,1,4,3,0,0,5,0,0,5,2,1,0,14,1,1,4,5,1,0,9,1,1,3,5,1,0,15,14,29
p_286,0,3,e_1,46,47,60,4,1,0,0,3,0,0,23,4,4,1,5,4,0,9,0,0,9,3,0,0,4,1,0,4,4,0,1,1,13,14
p_290,0,6,e_0,40,43,65,6,1,0,1,4,0,1,2,1,0,2,4,0,1,10,1,1,8,5,1,0,6,1,0,6,4,0,1,3,22,25
p_289,0,4,e_1,43,47,65,5,1,0,1,4,0,1,24,4,4,0,5,4,0,9,0,0,9,3,0,0,5,1,0,5,4,0,1,4,18,22
p_295,0,5,e_1,29,47,70,9,1,1,5,3,0,0,4,1,0,4,4,0,1,13,1,1,5,5,1,0,9,1,1,3,5,1,0,18,23,41
p_287,0,5,e_1,45,47,70,4,1,0,0,4,0,1,24,4,4,0,5,4,0,9,0,0,9,3,0,0,4,1,0,4,4,0,1,2,23,25
p_284,0,4,e_3,54,59,73,1,1,0,1,4,0,1,21,4,4,3,5,4,0,15,4,4,1,5,4,0,9,1,0,9,4,0,1,5,14,19
p_288,0,8,e_1,44,47,81,5,1,0,1,4,0,1,24,4,4,0,5,4,0,9,0,0,9,3,0,0,5,1,0,5,4,0,1,3,34,37
p_292,0,6,e_3,38,59,81,6,0,0,6,3,0,0,1,1,0,1,4,0,1,3,1,0,3,4,0,1,10,1,1,8,5,1,0,21,22,43
p_291,0,11,e_0,39,43,82,6,1,0,1,4,0,1,2,1,0,2,4,0,1,10,1,1,8,5,1,0,6,1,0,6,4,0,1,4,39,43
p_294,0,12,e_0,31,43,87,8,1,1,4,4,0,1,5,1,0,5,4,0,1,13,1,1,5,5,1,0,8,1,1,4,5,1,0,12,44,56
p_293,0,12,e_0,33,43,87,7,1,1,3,4,0,1,4,1,0,4,4,0,1,12,1,1,6,5,1,0,7,1,1,5,5,1,0,10,44,54
p_281,0,1,e_2,73,83,90,14,2,2,3,4,0,1,16,2,2,8,5,2,0,10,1,1,6,5,1,0,14,2,2,4,5,2,0,10,7,17
p_283,0,9,e_3,57,59,92,0,1,0,0,4,0,1,20,3,3,4,5,3,0,14,4,4,2,5,4,0,8,1,0,8,4,0,1,2,33,35
p_278,0,2,e_2,77,83,95,13,2,2,2,4,0,1,14,2,2,10,5,2,0,9,1,1,7,5,1,0,13,2,2,5,5,2,0,6,12,18
