p_299,3,0,e_1,7,19,32,-1,-1,-1,0,3,0,0,12,13,25
p_296,1,0,e_1,20,27,32,-1,-1,-1,3,4,1,0,7,5,12
p_300,8,0,e_0,4,31,63,-1,-1,-1,0,3,0,0,27,32,59
p_291,6,0,e_0,35,39,63,-1,-1,-1,7,4,1,0,4,24,28
p_290,4,0,e_0,43,47,63,-1,-1,-1,5,4,1,0,4,16,20
p_288,1,0,e_0,49,58,63,-1,-1,-1,4,4,1,0,9,5,14
p_297,12,0,e_3,18,57,95,-1,-1,-1,0,3,0,0,39,38,77
p_298,4,0,e_2,10,25,107,-1,-1,-1,0,3,0,0,15,82,97
p_295,5,0,e_2,22,30,107,-1,-1,-1,4,3,1,0,8,77,85
p_294,13,0,e_2,23,56,107,-1,-1,-1,4,3,1,1,33,51,84
p_287,12,0,e_2,51,61,107,-1,-1,-1,13,4,1,2,10,46,56
p_283,10,0,e_2,55,69,107,-1,-1,-1,13,4,1,1,14,38,52
p_281,10,0,e_2,63,69,107,-1,-1,-1,12,4,1,3,6,38,44
p_289,7,0,e_2,47,80,107,-1,-1,-1,13,4,1,0,33,27,60
p_282,6,0,e_2,62,85,107,-1,-1,-1,12,4,1,2,23,22,45
p_279,2,0,e_2,76,99,107,-1,-1,-1,8,4,1,2,23,8,31
p_292,11,0,e_1,30,67,140,-1,-1,-1,0,3,1,0,37,73,110
p_293,15,0,e_1,26,81,140,-1,-1,-1,0,3,1,1,55,59,114
p_278,15,0,e_1,80,83,140,-1,-1,-1,15,4,1,2,3,57,60
p_280,12,0,e_1,65,94,140,-1,-1,-1,15,4,1,1,29,46,75
p_277,10,0,e_1,81,102,140,-1,-1,-1,15,4,1,0,21,38,59
p_276,5,0,e_1,82,119,140,-1,-1,-1,15,1,1,2,37,21,58
p_274,4,0,e_1,84,124,140,-1,-1,-1,15,4,1,4,40,16,56
p_275,2,0,e_1,84,132,140,-1,-1,-1,15,4,1,3,48,8,56
p_285,2,0,e_0,54,71,155,-1,-1,-1,2,4,1,2,17,84,101
p_286,3,0,e_0,51,76,155,-1,-1,-1,3,4,1,1,25,79,104
p_284,14,0,e_0,55,111,155,-1,-1,-1,0,3,1,2,56,44,100
p_273,13,0,e_3,95,137,184,-1,-1,-1,0,3,0,0,42,47,89
p_271,11,0,e_3,127,145,184,-1,-1,-1,13,4,1,0,18,39,57
p_269,4,0,e_3,146,168,184,-1,-1,-1,11,4,1,0,22,16,38
p_267,1,0,e_3,153,179,184,-1,-1,-1,9,4,1,2,26,5,31
p_270,7,0,e_0,133,178,201,-1,-1,-1,7,4,1,0,45,23,68
p_272,15,0,e_2,105,154,207,-1,-1,-1,0,3,1,0,49,53,102
p_265,12,0,e_2,157,165,207,-1,-1,-1,14,4,1,1,8,42,50
p_263,12,0,e_2,163,165,207,-1,-1,-1,12,4,1,3,2,42,44
p_262,6,0,e_2,164,185,207,-1,-1,-1,12,1,1,2,21,22,43
p_259,6,0,e_2,174,185,207,-1,-1,-1,9,4,1,3,11,22,33
p_264,5,0,e_2,162,190,207,-1,-1,-1,13,4,1,2,28,17,45
p_258,5,0,e_2,175,190,207,-1,-1,-1,9,4,1,3,15,17,32
p_261,12,0,e_1,170,209,251,-1,-1,-1,0,3,0,0,39,42,81
p_251,4,0,e_1,228,235,251,-1,-1,-1,6,4,1,1,7,16,23
